"manual_id","industry_id","sequence","stage","trigger","primary_roles","required_inputs","key_record","decision_or_control","common_exception","metric_candidate","evidence_type","validation_question","last_verified"
"TA-WF-001","TA-IND-01","1","Enquiry and specification","Customer request","Sales estimator","Product dimensions substrate quantity colors finish due date","Specification sheet","Accept only when quote-critical fields are known","Incomplete or changed specification","Specification clarification count","General pattern","Which missing field causes most callbacks or wrong quotes?","2026-07-12"
"TA-WF-002","TA-IND-01","2","Estimate and order","Qualified specification","Estimator owner","Yield setup run finishing wastage freight margin","Estimate and order","Approve price credit and due date","Stale material cost or omitted extra","Quote turnaround and quote-to-actual variance","General pattern","Recalculate one won and one loss-making job","2026-07-12"
"TA-WF-003","TA-IND-01","3","Artwork and proof","Accepted order","Prepress customer sales","Artwork version specification approval criteria","Proof approval","Lock approved version before production","Wrong or ambiguous version","Approval cycle time","General pattern","Can two staff select the same approved file?","2026-07-12"
"TA-WF-004","TA-IND-01","4","Material and planning","Approved proof or release","Planner purchaser stores","Job quantity material machine finish due date","Job ticket and material issue","Confirm material and capacity readiness","Shortage substitute or priority change","Ready-to-start rate","General pattern","Who changes priority and how is the floor informed?","2026-07-12"
"TA-WF-005","TA-IND-01","5","Print and convert","Released job","Operators finishing QC","Approved ticket material and setup standard","Production and QC log","First-off and in-process acceptance","Setup loss defect or finishing queue","Spoilage and stage aging","General pattern","Where does WIP wait and what signal exists?","2026-07-12"
"TA-WF-006","TA-IND-01","6","Pack and dispatch","QC release","Packing dispatch accounts","Accepted quantity packing and delivery data","Dispatch note and POD","Reconcile order quantity and partial balance","Short count damage or missing proof","On-time-in-full","General pattern","How is a partial shipment kept open?","2026-07-12"
"TA-WF-007","TA-IND-01","7","Invoice and collect","Dispatch evidence","Accounts owner","Quote extras dispatch and credit terms","Invoice and receipt","Bill accepted quantity and approved changes","Unbilled extra or delayed collection","Invoice lag and receivable days","General pattern","Compare quote job cost invoice and receipt","2026-07-12"
"TA-WF-008","TA-IND-01","8","Claim and correction","Customer complaint","Sales QC production owner","Approved art sample lot job history","Claim and corrective note","Choose remake discount or reject using evidence","Insufficient traceability","Complaint and remake rate","General pattern","What evidence decided the last complaint?","2026-07-12"
"TA-WF-009","TA-IND-02","1","Shipment intake","Movement request","Customer desk dispatcher","Origin destination goods pieces weight time window","Shipment record","Validate service address and handling","Bad address or goods not ready","Intake correction rate","General pattern","Which missing field causes failed or repriced trips?","2026-07-12"
"TA-WF-010","TA-IND-02","2","Plan and assign","Qualified shipments","Dispatcher planner","Capacity route windows compatibility priority","Manifest and trip","Freeze plan and authorize overrides","Vehicle shortage or late change","Plan adherence","General pattern","Who can override and how is the driver informed?","2026-07-12"
"TA-WF-011","TA-IND-02","3","Document and load","Assigned trip","Hub loader driver","Packages invoice challan e-way data vehicle","Load sheet","Count condition documents and securement","Short package or document error","Load accuracy and dwell","General pattern","At which checkpoint is custody clear?","2026-07-12"
"TA-WF-012","TA-IND-02","4","Move and monitor","Vehicle departure","Driver dispatcher","Trip stops status rules and contact path","Status event log","Use specific timestamped states","Breakdown congestion or unplanned wait","On-time progress and dwell","General pattern","Which statuses are recorded versus inferred?","2026-07-12"
"TA-WF-013","TA-IND-02","5","Deliver and prove","Arrival at stop","Driver recipient","Shipment quantity condition and proof policy","POD","Record partial refusal and reason","Recipient unavailable or damaged goods","First-attempt success","General pattern","What evidence is accepted for billing and disputes?","2026-07-12"
"TA-WF-014","TA-IND-02","6","Return and claim","Failed or disputed delivery","Operations driver claims","Reason custody goods condition and liability","Exception or claim record","Assign next action and financial disposition","Return ambiguity or evidence gap","Exception aging and claim rate","General pattern","Where did evidence fail in the last claim?","2026-07-12"
"TA-WF-015","TA-IND-02","7","Bill and settle","Completed trip and POD","Billing accounts carrier","Rate accessorials POD expenses","Freight invoice and settlement","Match trip revenue and cost","Missing POD or unbilled waiting","POD-to-invoice days","General pattern","How many trips wait for billing and why?","2026-07-12"
"TA-WF-016","TA-IND-02","8","Review exceptions","Daily or weekly close","Operations manager","Trip events reasons costs and SLA","Exception review","Prioritize controllable frequent costly reasons","Free-text reasons hide pattern","Cost per exception","General pattern","Rank exceptions by frequency cost and control","2026-07-12"
"TA-WF-017","TA-IND-03","1","Enquiry and tech review","Buyer request or tech pack","Merchandiser sampling costing","Style revision BOM measurements quantity calendar","Tech pack review","Confirm feasibility and missing approval data","Revision ambiguity","Clarification and sample lead time","General pattern","Which missing buyer detail changes cost most?","2026-07-12"
"TA-WF-018","TA-IND-03","2","Cost and order","Feasible style","Costing merchandiser owner","Consumption minutes process testing freight terms","Cost sheet and PO","Approve target price and delivery","Consumption or process omitted","Pre-cost to post-cost variance","General pattern","Compare pre-cost and post-cost for one style","2026-07-12"
"TA-WF-019","TA-IND-03","3","Sample and approvals","Order development","Sampling merchandiser buyer","Pattern construction material artwork and tests","Sample approval log","Lock revision and approval status","Late or conflicting approval","Approval cycle time","General pattern","Which approval gates bulk action?","2026-07-12"
"TA-WF-020","TA-IND-03","4","Material readiness","Approved requirements","Sourcing stores quality","BOM lots shade trims arrival and inspection","Material status","Release only complete or approved substitutes","Late material or shade mismatch","On-time material readiness","General pattern","Which supplier variance disrupts the line?","2026-07-12"
"TA-WF-021","TA-IND-03","5","Cut and sew","Style release","CAD cutting production IE","Marker cut plan bundles operation sequence line","Cut and bundle records","Preserve size color lot and bundle identity","Mixing bottleneck or absenteeism","Line plan attainment and WIP","General pattern","Where does WIP accumulate and why?","2026-07-12"
"TA-WF-022","TA-IND-03","6","Quality and finishing","Produced pieces","QC production finishing","Measurements defects shade and acceptance plan","QC and alteration log","Prevent recurrence and control rework","Defect recurrence or alteration queue","First-pass yield and defects","General pattern","Which defects are prevented versus repaired?","2026-07-12"
"TA-WF-023","TA-IND-03","7","Pack and ship","Final release","Packing merchandiser logistics","Size-color ratio tags carton marks documents","Packing list","Reconcile assortment and shortage","Wrong ratio or document delay","On-time shipment","General pattern","How are shortages reconciled before carton close?","2026-07-12"
"TA-WF-024","TA-IND-03","8","Settle and learn","Shipment or claim","Accounts quality merchandiser","Invoice acceptance chargeback and claim evidence","Post-cost and claim","Correct style cost and root cause","Chargeback or air freight","Order contribution","General pattern","Which shipped value was withheld and why?","2026-07-12"
"TA-WF-025","TA-IND-04","1","RFQ and feasibility","Customer RFQ","Sales engineering quality","Part revision quantity material process quality delivery","Feasibility review","Confirm capability and requirement revision","Skipped feasibility","RFQ response and change count","General pattern","Which check is skipped under pressure?","2026-07-12"
"TA-WF-026","TA-IND-04","2","Cost and order","Feasible RFQ","Costing owner sales","Material operations tooling subcontract scrap overhead","Quote and PO","Approve assumptions and commercial terms","Actual route differs from quote","Quote-to-actual contribution","General pattern","Compare one repeat and one new part","2026-07-12"
"TA-WF-027","TA-IND-04","3","Engineer and plan","Accepted order","Engineering planning","Revision BOM route capacity due date","Work order","Release correct master data and sequence","Wrong revision or unavailable constraint","Ready-to-release rate","General pattern","What resource truly constrains the week?","2026-07-12"
"TA-WF-028","TA-IND-04","4","Buy and receive","Material requirement","Procurement stores quality","Specification supplier quantity lead time lot","PO GRN inspection","Accept conforming quantity and reserve it","Late or nonconforming supply","Supplier on-time quality","General pattern","Which supplier event changed the schedule?","2026-07-12"
"TA-WF-029","TA-IND-04","5","Make and record","Released work order","Production operator supervisor","Traveler material tool setup operation standard","Job traveler","Record good reject time and hold","Queue downtime or missing tool","Schedule attainment and WIP","General pattern","Can waiting be separated from run time?","2026-07-12"
"TA-WF-030","TA-IND-04","6","Inspect and dispose","Inspection point or defect","Quality production","Drawing control plan readings lot and defect","Inspection and NCR","Contain and approve disposition","Affected stock not traceable","First-pass yield and NCR aging","General pattern","Can the last rejection be contained by lot?","2026-07-12"
"TA-WF-031","TA-IND-04","7","Dispatch and bill","Accepted finished quantity","Dispatch accounts","Packing certificates order and transport","Dispatch and invoice","Confirm commercial and quality readiness","Document hold or partial shipment","Dispatch-to-invoice lag","General pattern","What must be true before dispatch?","2026-07-12"
"TA-WF-032","TA-IND-04","8","Claim and improve","Field or customer rejection","Quality engineering accounts","Part revision lot complaint and disposition","Claim and corrective action","Protect similar stock and correct cause","Evidence gap or repeated failure","Warranty and repeat-defect rate","General pattern","How does one complaint trigger containment?","2026-07-12"
"TA-WF-033","TA-IND-05","1","Assort and buy","Reorder demand or opportunity","Owner buyer","SKU unit demand stock terms supplier scheme","Purchase order","Use effective cost and working-capital effect","Attractive scheme creates excess","Stock turn and supplier fill","General pattern","Which term creates dead stock?","2026-07-12"
"TA-WF-034","TA-IND-05","2","Receive and identify","Supplier delivery","Receiver store accounts","PO invoice SKU unit lot expiry quantity condition","Goods receipt","Match identity unit quantity and condition","Wrong item unit or hidden damage","Receiving discrepancy rate","General pattern","Where do records first diverge from physical stock?","2026-07-12"
"TA-WF-035","TA-IND-05","3","Put away and price","Accepted receipt","Store buyer counter","Location barcode price and promotion","Item and location record","Maintain one item identity and sellable state","Duplicate item or wrong price","Time to shelf and item accuracy","General pattern","Do purchasing and POS use the same unit?","2026-07-12"
"TA-WF-036","TA-IND-05","4","Order and allocate","Customer request","Counter sales owner","Customer SKU quantity rate credit delivery","Sales order","Approve price substitution and credit","Message ambiguity or unavailable stock","Fill rate and order-entry correction","General pattern","What is lost when message orders are retyped?","2026-07-12"
"TA-WF-037","TA-IND-05","5","Pick bill and handover","Allocated order or counter sale","Picker cashier delivery","Order stock payment and tax data","Pick list and invoice","Match picked billed and handed quantity","Mis-pick unbilled item or discount","Pick accuracy and basket margin","General pattern","Where can staff bypass scanning or billing?","2026-07-12"
"TA-WF-038","TA-IND-05","6","Deliver and collect","Delivery order","Delivery accounts customer","Address proof payment or credit state","POD and receipt","Close delivered quantity and payment state","Failed delivery or unpaid COD","Delivery success and receivable aging","General pattern","How are partial and unpaid lines kept visible?","2026-07-12"
"TA-WF-039","TA-IND-05","7","Return and claim","Customer or supplier return","Counter store buyer accounts","Reason condition invoice lot and disposition","Return and credit note","Separate sellable quarantine supplier return and write-off","Returned stock silently restocked","Return aging and write-off","General pattern","Who decides the returned item disposition?","2026-07-12"
"TA-WF-040","TA-IND-05","8","Reconcile and replenish","Daily close or count","Owner buyer accounts store","Sales receipts stock adjustments aging and demand","Daily reconciliation","Act on stock exceptions and cash gaps","Negative stock dead stock or payment mismatch","Inventory accuracy and stockout","General pattern","Which exception is measured and acted on today?","2026-07-12"
